ufa892	99:0:0:25:25:175:175:u306b
ufa893	99:0:0:25:25:175:175:u306c
ufa894	99:0:0:25:25:175:175:u306d
ufa895	99:0:0:25:25:175:175:u306e
ufa896	99:0:0:25:25:175:175:u306f
ufa897	99:0:0:25:25:175:175:u3072
ufa898	99:0:0:25:25:175:175:u3075
ufa899	99:0:0:25:25:175:175:u3078
ufa89a	99:0:0:25:25:175:175:u307b
ufa89b	99:0:0:25:25:175:175:u307e
ufa89c	99:0:0:25:25:175:175:u307f
ufa89d	99:0:0:25:25:175:175:u3080
ufa89e	99:0:0:25:25:175:175:u3081
ufa89f	99:0:0:25:25:175:175:u3082
ufa8a0	99:0:0:25:25:175:175:u3084
ufa8a1	99:0:0:25:25:175:175:u3086
ufa8a2	99:0:0:25:25:175:175:u3088
ufa8a3	99:0:0:25:25:175:175:u3089
ufa8a4	99:0:0:25:25:175:175:u308a
ufa8a5	99:0:0:25:25:175:175:u308b
ufa8a6	99:0:0:25:25:175:175:u308c
ufa8a7	99:0:0:25:25:175:175:u308d
ufa8a8	99:0:0:25:25:175:175:u308f
ufa8a9	99:0:0:25:25:175:175:u3090
ufa8aa	99:0:0:25:25:175:175:u3091
ufa8ab	99:0:0:25:25:175:175:u3092
ufa8ac	99:0:0:25:25:175:175:u3093
ufa8ad	99:0:0:25:25:175:175:u30a2
ufa8ae	99:0:0:25:25:175:175:u30a4
ufa8af	99:0:0:25:25:175:175:u30a6
ufa8b0	99:0:0:25:25:175:175:u30a8
ufa8b1	99:0:0:25:25:175:175:u30aa
ufa8b2	99:0:0:25:25:175:175:u30ab
ufa8b3	99:0:0:25:25:175:175:u30ad
ufa8b4	99:0:0:25:25:175:175:u30af
ufa8b5	99:0:0:25:25:175:175:u30b1
ufa8b6	99:0:0:25:25:175:175:u30b3
ufa8b7	99:0:0:25:25:175:175:u30b5
ufa8b8	99:0:0:25:25:175:175:u30b7
ufa8b9	99:0:0:25:25:175:175:u30b9
ufa8ba	99:0:0:25:25:175:175:u30bb
ufa8bb	99:0:0:25:25:175:175:u30bd
ufa8bc	99:0:0:25:25:175:175:u30bf
ufa8bd	99:0:0:25:25:175:175:u30c1
ufa8be	99:0:0:25:25:175:175:u30c4
ufa8bf	99:0:0:25:25:175:175:u30c6
ufa8c0	99:0:0:25:25:175:175:u30c8
ufa8c1	99:0:0:25:25:175:175:u30ca
ufa8c2	99:0:0:25:25:175:175:u30cb
ufa8c3	99:0:0:25:25:175:175:u30cc
ufa8c4	99:0:0:25:25:175:175:u30cd
ufa8c5	99:0:0:25:25:175:175:u30ce
ufa8c6	99:0:0:25:25:175:175:u30cf
ufa8c7	99:0:0:25:25:175:175:u30d2
ufa8c8	99:0:0:25:25:175:175:u30d5
ufa8c9	99:0:0:25:25:175:175:u30d8
ufa8ca	99:0:0:25:25:175:175:u30db
ufa8cb	99:0:0:25:25:175:175:u30de
ufa8cc	99:0:0:25:25:175:175:u30df
ufa8cd	99:0:0:25:25:175:175:u30e0
ufa8ce	99:0:0:25:25:175:175:u30e1
ufa8cf	99:0:0:25:25:175:175:u30e2
ufa8d0	99:0:0:25:25:175:175:u30e4
ufa8d1	99:0:0:25:25:175:175:u30e6
ufa8d2	99:0:0:25:25:175:175:u30e8
ufa8d3	99:0:0:25:25:175:175:u30e9
ufa8d4	99:0:0:25:25:175:175:u30ea
ufa8d5	99:0:0:25:25:175:175:u30eb
ufa8d6	99:0:0:25:25:175:175:u30ec
ufa8d7	99:0:0:25:25:175:175:u30ed
ufa8d8	99:0:0:25:25:175:175:u30ef
ufa8d9	99:0:0:25:25:175:175:u30f0
ufa8da	99:0:0:25:25:175:175:u30f1
ufa8db	99:0:0:25:25:175:175:u30f2
ufa8dc	99:0:0:25:25:175:175:u30f3
ufa8dd	99:0:0:25:25:175:175:u4e00
ufa8de	99:0:0:25:25:175:175:u4e8c
ufa8df	99:0:0:25:25:175:175:u4e09
ufa8e0	99:0:0:25:25:175:175:u56db
ufa8e1	99:0:0:25:25:175:175:u4e94
ufa8e2	99:0:0:25:25:175:175:u516d
ufa8e3	99:0:0:25:25:175:175:u4e03
ufa8e4	99:0:0:25:25:175:175:u516b
ufa8e5	99:0:0:25:25:175:175:u4e5d
ufa8e6	99:0:0:25:25:175:175:u5341
ufa8e7	99:0:0:25:25:175:175:u65e5
ufa8e8	99:0:0:25:25:175:175:u6708
ufa8e9	99:0:0:25:25:175:175:u706b
ufa8ea	99:0:0:25:25:175:175:u6c34
ufa8eb	99:0:0:25:25:175:175:u6728
ufa8ec	99:0:0:25:25:175:175:u91d1
ufa8ed	99:0:0:25:25:175:175:u571f
ufa8ee	99:0:0:25:25:175:175:u8abf
ufa8ef	99:0:0:25:25:175:175:u6ce8
ufa8f0	99:0:0:25:25:175:175:u526f
ufa8f1	99:0:0:25:25:175:175:u6e1b
ufa8f2	99:0:0:25:25:175:175:u6a19
ufa8f3	99:0:0:25:25:175:175:u6b20
ufa8f4	99:0:0:25:25:175:175:u57fa
ufa8f5	99:0:0:25:25:175:175:u7981
ufa8f6	99:0:0:25:25:175:175:u9805
ufa8f7	99:0:0:25:25:175:175:u4f11
ufa8f8	99:0:0:25:25:175:175:u5973
ufa8f9	99:0:0:25:25:175:175:u7537
ufa8fa	99:0:0:25:25:175:175:u6b63
ufa8fb	99:0:0:25:25:175:175:u5199
ufa8fc	99:0:0:25:25:175:175:u795d
ufa8fd	99:0:0:25:25:175:175:u51fa
ufa8fe	99:0:0:25:25:175:175:u9069
ufa8ff	99:0:0:25:25:175:175:u7279
ufa900	99:0:0:25:25:175:175:u6e08
ufa901	99:0:0:25:25:175:175:u5897
ufa902	99:0:0:25:25:175:175:u554f
ufa903	99:0:0:25:25:175:175:u7b54
ufa904	99:0:0:25:25:175:175:u4f8b
ufa905	99:0:0:25:25:175:175:u96fb
ufa9a1	99:0:0:25:25:175:175:u3042
ufa9a2	99:0:0:25:25:175:175:u3044
ufa9a3	99:0:0:25:25:175:175:u3046
ufa9a4	99:0:0:25:25:175:175:u3048
ufa9a5	99:0:0:25:25:175:175:u304a
ufa9a6	99:0:0:25:25:175:175:u304b
ufa9a7	99:0:0:25:25:175:175:u304d
ufa9a8	99:0:0:25:25:175:175:u304f
ufa9a9	99:0:0:25:25:175:175:u3051
ufa9aa	99:0:0:25:25:175:175:u3053
ufa9ab	99:0:0:25:25:175:175:u3055
ufa9ac	99:0:0:25:25:175:175:u3057
ufa9ad	99:0:0:25:25:175:175:u3059
ufa9ae	99:0:0:25:25:175:175:u305b
ufa9af	99:0:0:25:25:175:175:u305d
ufa9b0	99:0:0:25:25:175:175:u305f
ufa9b1	99:0:0:25:25:175:175:u3061
ufa9b2	99:0:0:25:25:175:175:u3064
ufa9b3	99:0:0:25:25:175:175:u3066
ufa9b4	99:0:0:25:25:175:175:u3068
ufa9b5	99:0:0:25:25:175:175:u306a
ufa9b6	99:0:0:25:25:175:175:u306b
ufa9b7	99:0:0:25:25:175:175:u306c
ufa9b8	99:0:0:25:25:175:175:u306d
ufa9b9	99:0:0:25:25:175:175:u306e
ufa9ba	99:0:0:25:25:175:175:u306f
ufa9bb	99:0:0:25:25:175:175:u3072
ufa9bc	99:0:0:25:25:175:175:u3075
ufa9bd	99:0:0:25:25:175:175:u3078
ufa9be	99:0:0:25:25:175:175:u307b
ufa9bf	99:0:0:25:25:175:175:u307e
ufa9c0	99:0:0:25:25:175:175:u307f
ufa9c1	99:0:0:25:25:175:175:u3080
ufa9c2	99:0:0:25:25:175:175:u3081
ufa9c3	99:0:0:25:25:175:175:u3082
ufa9c4	99:0:0:25:25:175:175:u3084
ufa9c5	99:0:0:25:25:175:175:u3086
ufa9c6	99:0:0:25:25:175:175:u3088
ufa9c7	99:0:0:25:25:175:175:u3089
ufa9c8	99:0:0:25:25:175:175:u308a
ufa9c9	99:0:0:25:25:175:175:u308b
ufa9ca	99:0:0:25:25:175:175:u308c
ufa9cb	99:0:0:25:25:175:175:u308d
ufa9cc	99:0:0:25:25:175:175:u308f
ufa9cd	99:0:0:25:25:175:175:u3090
ufa9ce	99:0:0:25:25:175:175:u3091
ufa9cf	99:0:0:25:25:175:175:u3092
ufa9d0	99:0:0:25:25:175:175:u3093
ufa9d1	99:0:0:25:25:175:175:u30a2
ufa9d2	99:0:0:25:25:175:175:u30a4
ufa9d3	99:0:0:25:25:175:175:u30a6
ufa9d4	99:0:0:25:25:175:175:u30a8
